"Pos","Game","Genre","Publisher","North America","Europe","Japan","Rest of World","Global","Year Release"
165,LEGO City Undercover,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0,0.03,0.3,"2017-01-01"
166,Final Fantasy Type-0,Role-Playing,Square Enix,0.2,0.07,0,0.03,0.3,"2015-01-01"
167,Sniper Elite 4,Shooter,Rebellion Developments,0.18,0.09,0,0.03,0.3,"2017-01-01"
168,Sonic Forces,Platform,Sega,0.15,0.11,0,0.03,0.29,"2017-01-01"
169,Dark Souls II,Role-Playing,Namco Bandai Games,0.19,0.07,0,0.03,0.28,"2015-01-01"
170,Battleborn,Shooter,"2K Games",0.2,0.05,0,0.03,0.28,"2016-01-01"
171,Rory McIlroy PGA Tour,Sports,Electronic Arts,0.16,0.09,0,0.02,0.28,"2015-01-01"
172,Assassin's Creed The Ezio Collection,Action,Ubisoft,0.13,0.12,0,0.02,0.27,"2016-01-01"
173,LEGO The Hobbit,Action-Adventure,Warner Bros. Interactive Entertainment,0.13,0.13,0,0.02,0.27,"2014-01-01"
174,Metal Gear Solid: Ground Zeroes,Action-Adventure,Konami Digital Entertainment,0.13,0.13,0,0.02,0.27,"2014-01-01"
175,Minecraft: Story Mode - Season Two,Adventure,Telltale Games,0.17,0.08,0,0.02,0.27,"2017-01-01"
176,Skylanders Imaginators,Platform,Activision,0.19,0.05,0,0.03,0.27,"2016-01-01"
177,Friday the 13th: The Game,Action,Gun Media,0.21,0.03,0,0.03,0.27,"2017-01-01"
178,ReCore,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26,"2016-01-01"
179,F1 2015,Racing,Codemasters,0.09,0.15,0,0.02,0.25,"2015-01-01"
180,L.A. Noire,Adventure,Rockstar Games,0.14,0.09,0,0.02,0.25,"2017-01-01"
181,Trials Fusion,Racing,Ubisoft,0.12,0.1,0,0.02,0.25,"2014-01-01"
182,Call of Duty: Modern Warfare Remastered,Shooter,Activision,0.16,0.06,0,0.02,0.24,"2017-01-01"
183,Zumba Fitness: World Party,Misc,Majesco Entertainment,0.17,0.05,0,0.02,0.24,"2013-01-01"
184,Saints Row IV,Action,Deep Silver,0.13,0.09,0,0.02,0.24,"2015-01-01"
185,Farming Simulator 2015,Simulation,Koch Media,0.13,0.09,0,0.02,0.24,"2015-01-01"
186,A Way Out,Action,Electronic Arts,0.17,0.05,0,0.02,0.24,"2018-01-01"
187,NBA Live 14,Sports,EA Sports,0.19,0.02,0,0.02,0.24,"2013-01-01"
188,Payday 2,Shooter,"505 Games",0.14,0.07,0,0.02,0.23,"2015-01-01"
189,DiRT 4,Racing,Codemasters,0.11,0.1,0,0.02,0.23,"2017-01-01"
190,NBA Live 15,Sports,Electronic Arts,0.18,0.02,0,0.02,0.22,"2014-01-01"
